alpha, beta, gamma, IsInside
1.33333, 1.83333, -2.16667, 0
1.33333, 1.8, -2.13333, 0
1.33333, 1.76667, -2.1, 0
1.33333, 1.73333, -2.06667, 0
1.33333, 1.7, -2.03333, 0
1.33333, 1.66667, -2, 0
1.33333, 1.63333, -1.96667, 0
1.33333, 1.6, -1.93333, 0
1.33333, 1.56667, -1.9, 0
1.33333, 1.53333, -1.86667, 0
1.33333, 1.5, -1.83333, 0
1.33333, 1.46667, -1.8, 0
1.33333, 1.43333, -1.76667, 0
1.33333, 1.4, -1.73333, 0
1.33333, 1.36667, -1.7, 0
1.33333, 1.33333, -1.66667, 0
1.33333, 1.3, -1.63333, 0
1.33333, 1.26667, -1.6, 0
1.33333, 1.23333, -1.56667, 0
1.33333, 1.2, -1.53333, 0
1.33333, 1.16667, -1.5, 0
1.33333, 1.13333, -1.46667, 0
1.33333, 1.1, -1.43333, 0
1.33333, 1.06667, -1.4, 0
1.33333, 1.03333, -1.36667, 0
1.33333, 1, -1.33333, 0
1.33333, 0.966667, -1.3, 0
1.33333, 0.933333, -1.26667, 0
1.33333, 0.9, -1.23333, 0
1.33333, 0.866667, -1.2, 0
1.33333, 0.833333, -1.16667, 0
1.33333, 0.8, -1.13333, 0
1.33333, 0.766667, -1.1, 0
1.33333, 0.733333, -1.06667, 0
1.33333, 0.7, -1.03333, 0
1.33333, 0.666667, -1, 0
1.33333, 0.633333, -0.966667, 0
1.33333, 0.6, -0.933333, 0
1.33333, 0.566667, -0.9, 0
1.33333, 0.533333, -0.866667, 0
1.33333, 0.5, -0.833333, 0
1.33333, 0.466667, -0.8, 0
1.33333, 0.433333, -0.766667, 0
1.33333, 0.4, -0.733333, 0
1.33333, 0.366667, -0.7, 0
1.33333, 0.333333, -0.666667, 0
1.33333, 0.3, -0.633333, 0
1.33333, 0.266667, -0.6, 0
1.33333, 0.233333, -0.566667, 0
1.33333, 0.2, -0.533333, 0
1.33333, 0.166667, -0.5, 0
1.33333, 0.133333, -0.466667, 0
1.33333, 0.1, -0.433333, 0
1.33333, 0.0666667, -0.4, 0
1.33333, 0.0333333, -0.366667, 0
1.33333, 0, -0.333333, 0
1.33333, -0.0333333, -0.3, 0
1.33333, -0.0666667, -0.266667, 0
1.33333, -0.1, -0.233333, 0
1.33333, -0.133333, -0.2, 0
1.33333, -0.166667, -0.166667, 0
1.33333, -0.2, -0.133333, 0
1.33333, -0.233333, -0.1, 0
1.33333, -0.266667, -0.0666667, 0
1.33333, -0.3, -0.0333334, 0
1.33333, -0.333333, -5.96046e-08, 0
1.33333, -0.366667, 0.0333333, 0
1.33333, -0.4, 0.0666666, 0
1.33333, -0.433333, 0.1, 0
1.33333, -0.466667, 0.133333, 0
1.33333, -0.5, 0.166667, 0
1.31111, 1.83333, -2.14444, 0
1.31111, 1.8, -2.11111, 0
1.31111, 1.76667, -2.07778, 0
